text,label
The World Health Organization released updated guidelines on artificial intelligence based on clinical trial data.,REAL
The school board approved a revised curriculum for climate change after a public comment period.,REAL
You won't believe what a well-known politician said about water quality - the government doesn't want you to know!,FAKE
New study 'they' don't want you to see proves public health was engineered in a secret lab.,FAKE
"Quarterly earnings for Umbrella Inc rose 74% year-over-year, according to the company's official filing.",REAL
Anonymous insider reveals Globex is secretly controlling water quality through mind control chips.,FAKE
The World Health Organization released updated guidelines on water quality based on clinical trial data.,REAL
Scientists at Harvard University published a peer-reviewed study on vaccine safety in the journal Nature.,REAL
SHOCKING: Doctors HATE this one weird trick that cures 5G networks overnight!!!,FAKE
Researchers at Cambridge presented preliminary findings on public health at a scientific conference.,REAL
"Wake up! the FBI doesn't want you to know the TRUTH about nutrition, share before it's deleted!",FAKE
Scientists at Stanford University published a peer-reviewed study on renewable energy in the journal Nature.,REAL
The school board approved a revised curriculum for climate change after a public comment period.,REAL
This miracle cure for vaccine safety was banned by the FBI because it threatens their profits!,FAKE
Leaked footage shows a tech billionaire admitting the whole the economy story was FAKE all along.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures vaccine safety overnight!!!,FAKE
New study 'they' don't want you to see proves vaccine safety was engineered in a secret lab.,FAKE
"Wake up! the Fed doesn't want you to know the TRUTH about vaccine safety, share before it's deleted!",FAKE
"Quarterly earnings for Umbrella Inc rose 3% year-over-year, according to the company's official filing.",REAL
Scientists are TERRIFIED of this new discovery about election security that they're hiding from the public.,FAKE
The World Health Organization released updated guidelines on climate change based on clinical trial data.,REAL
The World Health Organization released updated guidelines on climate change based on clinical trial data.,REAL
The Federal Reserve announced today it will lower interest rates by 12 basis points.,REAL
BREAKING: Secret documents PROVE 5G networks is a total hoax invented by the CDC!,FAKE
Scientists are TERRIFIED of this new discovery about 5G networks that they're hiding from the public.,FAKE
The city council voted 8 to 3 to approve the new public transit budget.,REAL
Researchers at Cambridge presented preliminary findings on election security at a scientific conference.,REAL
New study 'they' don't want you to see proves renewable energy was engineered in a secret lab.,FAKE
BREAKING: Secret documents PROVE renewable energy is a total hoax invented by the CDC!,FAKE
Scientists are TERRIFIED of this new discovery about artificial intelligence that they're hiding from the public.,FAKE
"Quarterly earnings for Umbrella Inc rose 61% year-over-year, according to the company's official filing.",REAL
The school board approved a revised curriculum for election security after a public comment period.,REAL
A new report from the the CDC shows unemployment fell to 2% last quarter.,REAL
Scientists are TERRIFIED of this new discovery about artificial intelligence that they're hiding from the public.,FAKE
"Wake up! the FDA doesn't want you to know the TRUTH about water quality, share before it's deleted!",FAKE
Scientists at Cambridge University published a peer-reviewed study on 5G networks in the journal Nature.,REAL
"Wake up! the UN doesn't want you to know the TRUTH about public health, share before it's deleted!",FAKE
The city council voted 2 to 6 to approve the new public transit budget.,REAL
You won't believe what a famous actor said about renewable energy - the government doesn't want you to know!,FAKE
Scientists at Harvard University published a peer-reviewed study on artificial intelligence in the journal Nature.,REAL
The World Health Organization released updated guidelines on artificial intelligence based on clinical trial data.,REAL
Researchers at Stanford presented preliminary findings on 5G networks at a scientific conference.,REAL
You won't believe what a popular influencer said about renewable energy - the government doesn't want you to know!,FAKE
The school board approved a revised curriculum for renewable energy after a public comment period.,REAL
Local officials confirmed that road construction on Elm Street will begin next month.,REAL
Scientists at MIT University published a peer-reviewed study on the economy in the journal Nature.,REAL
Scientists are TERRIFIED of this new discovery about vaccine safety that they're hiding from the public.,FAKE
Anonymous insider reveals Initech is secretly controlling public health through mind control chips.,FAKE
BREAKING: Secret documents PROVE election security is a total hoax invented by the FDA!,FAKE
This miracle cure for vaccine safety was banned by the FDA because it threatens their profits!,FAKE
"Quarterly earnings for Stark Industries rose 8% year-over-year, according to the company's official filing.",REAL
Anonymous insider reveals Umbrella Inc is secretly controlling vaccine safety through mind control chips.,FAKE
Local officials confirmed that road construction on 5th Street will begin next month.,REAL
This miracle cure for public health was banned by the Fed because it threatens their profits!,FAKE
URGENT: a popular influencer caught in massive nutrition scandal that mainstream media REFUSES to cover.,FAKE
The World Health Organization released updated guidelines on election security based on clinical trial data.,REAL
Researchers at Stanford presented preliminary findings on water quality at a scientific conference.,REAL
Researchers at Stanford presented preliminary findings on vaccine safety at a scientific conference.,REAL
New study 'they' don't want you to see proves the economy was engineered in a secret lab.,FAKE
The World Health Organization released updated guidelines on election security based on clinical trial data.,REAL
"Wake up! the Fed doesn't want you to know the TRUTH about election security, share before it's deleted!",FAKE
The school board approved a revised curriculum for water quality after a public comment period.,REAL
The city council voted 50 to 3 to approve the new public transit budget.,REAL
You won't believe what a tech billionaire said about public health - the government doesn't want you to know!,FAKE
"Quarterly earnings for Acme Corp rose 3% year-over-year, according to the company's official filing.",REAL
Scientists are TERRIFIED of this new discovery about artificial intelligence that they're hiding from the public.,FAKE
The school board approved a revised curriculum for renewable energy after a public comment period.,REAL
A new report from the the CDC shows unemployment fell to 12% last quarter.,REAL
"Quarterly earnings for Initech rose 25% year-over-year, according to the company's official filing.",REAL
Researchers at Harvard presented preliminary findings on 5G networks at a scientific conference.,REAL
A new report from the the Fed shows unemployment fell to 12% last quarter.,REAL
New study 'they' don't want you to see proves nutrition was engineered in a secret lab.,FAKE
Anonymous insider reveals Initech is secretly controlling renewable energy through mind control chips.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures water quality overnight!!!,FAKE
The World Health Organization released updated guidelines on 5G networks based on clinical trial data.,REAL
"Quarterly earnings for Acme Corp rose 25% year-over-year, according to the company's official filing.",REAL
Scientists at MIT University published a peer-reviewed study on vaccine safety in the journal Nature.,REAL
Anonymous insider reveals Umbrella Inc is secretly controlling nutrition through mind control chips.,FAKE
Scientists at Stanford University published a peer-reviewed study on the economy in the journal Nature.,REAL
Leaked footage shows a tech billionaire admitting the whole public health story was FAKE all along.,FAKE
Anonymous insider reveals Stark Industries is secretly controlling water quality through mind control chips.,FAKE
New study 'they' don't want you to see proves renewable energy was engineered in a secret lab.,FAKE
Scientists at Yale University published a peer-reviewed study on climate change in the journal Nature.,REAL
New study 'they' don't want you to see proves climate change was engineered in a secret lab.,FAKE
"Quarterly earnings for Stark Industries rose 5% year-over-year, according to the company's official filing.",REAL
Researchers at Oxford presented preliminary findings on climate change at a scientific conference.,REAL
"Wake up! the FBI doesn't want you to know the TRUTH about vaccine safety, share before it's deleted!",FAKE
A new report from the the Fed shows unemployment fell to 50% last quarter.,REAL
Anonymous insider reveals Acme Corp is secretly controlling election security through mind control chips.,FAKE
The World Health Organization released updated guidelines on water quality based on clinical trial data.,REAL
This miracle cure for election security was banned by the FDA because it threatens their profits!,FAKE
Leaked footage shows a popular influencer admitting the whole public health story was FAKE all along.,FAKE
Researchers at MIT presented preliminary findings on the economy at a scientific conference.,REAL
Scientists at Yale University published a peer-reviewed study on artificial intelligence in the journal Nature.,REAL
The city council voted 61 to 4 to approve the new public transit budget.,REAL
"Wake up! the Fed doesn't want you to know the TRUTH about election security, share before it's deleted!",FAKE
Leaked footage shows a famous actor admitting the whole public health story was FAKE all along.,FAKE
Scientists are TERRIFIED of this new discovery about 5G networks that they're hiding from the public.,FAKE
Anonymous insider reveals Stark Industries is secretly controlling the economy through mind control chips.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures renewable energy overnight!!!,FAKE
SHOCKING: Doctors HATE this one weird trick that cures election security overnight!!!,FAKE
URGENT: a famous actor caught in massive election security scandal that mainstream media REFUSES to cover.,FAKE
Leaked footage shows a well-known politician admitting the whole 5G networks story was FAKE all along.,FAKE
A new report from the the FDA shows unemployment fell to 74% last quarter.,REAL
"Wake up! the UN doesn't want you to know the TRUTH about public health, share before it's deleted!",FAKE
Leaked footage shows a famous actor admitting the whole 5G networks story was FAKE all along.,FAKE
Anonymous insider reveals Umbrella Inc is secretly controlling climate change through mind control chips.,FAKE
The school board approved a revised curriculum for renewable energy after a public comment period.,REAL
Researchers at Stanford presented preliminary findings on nutrition at a scientific conference.,REAL
Leaked footage shows a famous actor admitting the whole artificial intelligence story was FAKE all along.,FAKE
New study 'they' don't want you to see proves public health was engineered in a secret lab.,FAKE
Local officials confirmed that road construction on Maple Street will begin next month.,REAL
You won't believe what a popular influencer said about renewable energy - the government doesn't want you to know!,FAKE
The school board approved a revised curriculum for election security after a public comment period.,REAL
The school board approved a revised curriculum for water quality after a public comment period.,REAL
"Quarterly earnings for Stark Industries rose 61% year-over-year, according to the company's official filing.",REAL
The national weather service issued a routine forecast update for the midwest region this week.,REAL
New study 'they' don't want you to see proves renewable energy was engineered in a secret lab.,FAKE
You won't believe what a tech billionaire said about 5G networks - the government doesn't want you to know!,FAKE
Anonymous insider reveals Initech is secretly controlling 5G networks through mind control chips.,FAKE
"Quarterly earnings for Globex rose 8% year-over-year, according to the company's official filing.",REAL
"Wake up! the Fed doesn't want you to know the TRUTH about election security, share before it's deleted!",FAKE
"Quarterly earnings for Stark Industries rose 74% year-over-year, according to the company's official filing.",REAL
The national weather service issued a routine forecast update for the pacific region this week.,REAL
The city council voted 12 to 4 to approve the new public transit budget.,REAL
Local officials confirmed that road construction on Main Street will begin next month.,REAL
The national weather service issued a routine forecast update for the southern region this week.,REAL
The city council voted 12 to 3 to approve the new public transit budget.,REAL
Local officials confirmed that road construction on Main Street will begin next month.,REAL
"Quarterly earnings for Stark Industries rose 2% year-over-year, according to the company's official filing.",REAL
The school board approved a revised curriculum for renewable energy after a public comment period.,REAL
The World Health Organization released updated guidelines on water quality based on clinical trial data.,REAL
BREAKING: Secret documents PROVE artificial intelligence is a total hoax invented by the CDC!,FAKE
SHOCKING: Doctors HATE this one weird trick that cures 5G networks overnight!!!,FAKE
Scientists are TERRIFIED of this new discovery about 5G networks that they're hiding from the public.,FAKE
Leaked footage shows a famous actor admitting the whole election security story was FAKE all along.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures artificial intelligence overnight!!!,FAKE
BREAKING: Secret documents PROVE climate change is a total hoax invented by the CDC!,FAKE
Anonymous insider reveals Globex is secretly controlling election security through mind control chips.,FAKE
Researchers at MIT presented preliminary findings on nutrition at a scientific conference.,REAL
This miracle cure for public health was banned by the FBI because it threatens their profits!,FAKE
The Federal Reserve announced today it will hold interest rates by 25 basis points.,REAL
The city council voted 25 to 1 to approve the new public transit budget.,REAL
A new report from the the CDC shows unemployment fell to 3% last quarter.,REAL
Scientists are TERRIFIED of this new discovery about the economy that they're hiding from the public.,FAKE
Researchers at Cambridge presented preliminary findings on 5G networks at a scientific conference.,REAL
Researchers at MIT presented preliminary findings on climate change at a scientific conference.,REAL
Researchers at Yale presented preliminary findings on the economy at a scientific conference.,REAL
The city council voted 12 to 2 to approve the new public transit budget.,REAL
You won't believe what a famous actor said about nutrition - the government doesn't want you to know!,FAKE
URGENT: a popular influencer caught in massive water quality scandal that mainstream media REFUSES to cover.,FAKE
The national weather service issued a routine forecast update for the southern region this week.,REAL
Local officials confirmed that road construction on Elm Street will begin next month.,REAL
SHOCKING: Doctors HATE this one weird trick that cures nutrition overnight!!!,FAKE
The city council voted 61 to 6 to approve the new public transit budget.,REAL
"Quarterly earnings for Acme Corp rose 12% year-over-year, according to the company's official filing.",REAL
The World Health Organization released updated guidelines on election security based on clinical trial data.,REAL
You won't believe what a well-known politician said about artificial intelligence - the government doesn't want you to know!,FAKE
"Wake up! the UN doesn't want you to know the TRUTH about 5G networks, share before it's deleted!",FAKE
BREAKING: Secret documents PROVE 5G networks is a total hoax invented by the FDA!,FAKE
SHOCKING: Doctors HATE this one weird trick that cures public health overnight!!!,FAKE
